slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
infiltrate|infiltrate|verb|IN-fil-trayt · UK /ˈɪn.fɪl.treɪt/ · US /ˈɪn.fɪl.treɪt/|C1|2.81|enter gradually and quietly from within the gaps|不是正面衝進去，而是從縫裡慢慢滲入。|表示潛入、滲透某個群體、區域或系統。|invade|入侵|像雨水不是砸破屋頂，而是先從細縫一滴一滴滲進來。|資安防護、組織風險與軍事敘事|infiltrate the network|工程 / 安全|infiltrate the group|社會 / 組織|infiltrate the system|政治 / 敘事|悄悄滲入,先從細縫一滴滴進來,invade,security,systems,verb,infiltrate
infuse|infuse|verb|in-FYOOZ · UK /ɪnˈfjuːz/ · US /ɪnˈfjuːz/|C1|2.86|fill something with a quality that spreads through it|不是塞進一點，而是讓那種氣質整體滲開。|表示注入、灌注，使某物充滿特定能量、風味或意義。|fill|填滿|像熱茶裡滴進香草，香氣不是停在一點，而是慢慢走滿整杯。|品牌氣質、教學設計與敘事情緒|infuse with energy|管理 / 團隊|infuse the design with warmth|設計 / 視覺|infuse meaning|寫作 / 敘事|注入氣質,香氣慢慢走滿整杯,fill,design,meaning,verb,infuse
inhibit|inhibit|verb|in-HIB-it · UK /ɪnˈhɪb.ɪt/ · US /ɪnˈhɪb.ɪt/|C1|2.94|hold back natural movement, growth, or expression|不是完全關掉，而是讓它發不太出來。|表示抑制、阻止某種自然反應、成長或表達。|restrain|抑制|像踩著煞車往前開，車還動，但整體被一直拉住。|生理反應、創意表達與制度限制|inhibit growth|科學 / 研究|inhibit creativity|工作 / 團隊|inhibit the response|醫療 / 生理|抑制發揮,踩著煞車往前開,restrain,growth,expression,verb,inhibit
inimical|inimical|adjective|ih-NIM-ih-kul · UK /ɪˈnɪm.ɪ.kəl/ · US /ɪˈnɪm.ɪ.kəl/|C2|2.36|harmful or hostile to a desired outcome|不是不配合而已，而是和你的目標本身相沖。|表示不利於、敵對於某個人、價值或結果。|hostile|敵對|像土壤看似平靜，實際卻對種子極不友善，怎麼埋都長不起來。|政策評估、工作環境與健康條件|inimical to progress|管理 / 評估|inimical conditions|健康 / 環境|inimical to trust|人際 / 關係|本質相沖,土壤對種子很不友善,hostile,conditions,progress,adjective,inimical
inscrutable|inscrutable|adjective|in-SKROO-tuh-bul · UK /ɪnˈskruː.tə.bəl/ · US /ɪnˈskruː.t̬ə.bəl/|C2|2.44|impossible to read or understand from the outside|不是神秘有趣，而是你怎麼看都看不穿。|表示難以理解、難以解讀的。|mysterious|神秘|像一扇沒有把手也沒有窗的門，站在外面只能猜裡面是什麼。|人物神情、系統行為與市場動向|inscrutable expression|人物 / 描寫|inscrutable silence|人際 / 情緒|inscrutable behavior|分析 / 觀察|看不穿,一扇沒有把手的門,mysterious,expression,behavior,adjective,inscrutable
instigate|instigate|verb|IN-stih-gayt · UK /ˈɪn.stɪ.ɡeɪt/ · US /ˈɪn.stə.ɡeɪt/|C1|2.70|trigger action by pushing others into motion|不是事情自己起來，而是有人在背後把火點著。|表示煽動、促成、挑起某件事的開始。|start|開始|像第一根火柴不大，但它讓整片乾草都知道接下來會燒起來。|群體行動、衝突升高與改革推動|instigate a protest|公共 / 社會|instigate the change|組織 / 改革|instigate conflict|人際 / 衝突|點起開頭那根火柴,乾草知道要燒起來,start,change,conflict,verb,instigate
intercede|intercede|verb|in-ter-SEED · UK /ˌɪn.təˈsiːd/ · US /ˌɪn.t̬ɚˈsiːd/|C2|2.39|step between sides to plead or help|不是旁觀，而是主動站到中間替某人說話。|表示代為求情、居中斡旋。|intervene|介入|像兩扇快要猛然合上的門，中間有人伸手先把它們撐開。|衝突調停、法律求情與人際協調|intercede on behalf of someone|法務 / 協調|intercede in the dispute|人際 / 衝突|intercede with the manager|職場 / 溝通|站到中間求情,先把快合上的門撐開,intervene,mediation,advocacy,verb,intercede
intermittent|intermittent|adjective|in-ter-MIT-uhnt · UK /ˌɪn.təˈmɪt.ənt/ · US /ˌɪn.t̬ɚˈmɪt.ənt/|C1|2.89|stopping and starting in spaced intervals|不是持續存在，而是一陣一陣地回來。|表示斷斷續續、間歇性的。|occasional|偶爾的|像窗外雨點不是連成線，而是一下敲幾聲又停幾分鐘。|故障排查、症狀觀察與天氣描述|intermittent signal|工程 / 訊號|intermittent pain|健康 / 醫療|intermittent rain|自然 / 天氣|一陣一陣,雨點敲幾聲又停,occasional,signal,symptoms,adjective,intermittent
inundate|inundate|verb|IN-un-dayt · UK /ˈɪn.ʌn.deɪt/ · US /ˈɪn.ʌn.deɪt/|C1|2.74|overwhelm with flood or excessive quantity|不是多一點，而是多到整個空間都被蓋住。|表示洪水淹沒，或大量資訊、請求、情緒湧入。|flood|淹沒|像信件不是塞滿信箱，而是一路從槽口溢到地板上。|訊息量、災害場景與客服壓力|inundate the inbox|工作 / 溝通|inundated with requests|營運 / 服務|floodwaters inundate|災害 / 新聞|大量淹沒,信件一路溢到地板,flood,requests,disaster,verb,inundate
irate|irate|adjective|eye-RAYT · UK /aɪˈreɪt/ · US /aɪˈreɪt/|C1|2.66|very angry and ready to show it|不是不高興而已，而是怒氣已經寫在臉上。|表示盛怒、惱火。|angry|生氣|像壓力鍋的閥門已經開始尖叫，再多一點火就要掀蓋。|客訴場景、人物描寫與情緒回應|irate customer|服務 / 客訴|irate response|人際 / 溝通|sound irate|敘事 / 描寫|怒氣外露,壓力鍋閥門開始尖叫,angry,customer,emotion,adjective,irate
ironclad|ironclad|adjective|EYE-urn-klad · UK /ˈaɪ.ən.klæd/ · US /ˈaɪ.ɚn.klæd/|C1|2.51|so solid it resists attack or doubt|不是還不錯，而是硬到幾乎挑不出破口。|表示嚴密、堅不可摧、不可推翻。|solid|穩固|像箱子外面一層一層上鎖，拿著工具繞一圈也找不到縫。|合約條款、證據鏈與防護設計|ironclad contract|法務 / 合約|ironclad proof|分析 / 證據|ironclad defense|工程 / 安全|嚴密無破口,一層層上鎖找不到縫,solid,proof,contract,adjective,ironclad
jaded|jaded|adjective|JAY-did · UK /ˈdʒeɪ.dɪd/ · US /ˈdʒeɪ.dɪd/|C1|2.63|dulled from too much exposure or repetition|不是累而已，而是看太多、做太多之後感覺變鈍。|表示厭倦麻木、失去新鮮感。|tired|疲倦|像同一首歌重播太多次，旋律還在，但耳朵已經不再亮起來。|工作倦怠、媒體消費與人物心理|jaded worker|職場 / 狀態|feel jaded|生活 / 情緒|jaded audience|媒體 / 內容|看多做到麻木,同一首歌重播太多次,tired,burnout,emotion,adjective,jaded
jarring|jarring|adjective|JAR-ing · UK /ˈdʒɑː.rɪŋ/ · US /ˈdʒɑːr.ɪŋ/|C1|2.58|shocking because it clashes abruptly with context|不是大聲而已，而是和周圍不搭到讓你整個被拉醒。|表示刺耳、突兀、令人不舒服地不協調。|unsettling|讓人不安|像安靜樂章裡忽然砸進一聲金屬碰撞，耳朵會先縮一下。|版面調性、聲音體驗與敘事轉折|jarring contrast|設計 / 視覺|jarring noise|音效 / 環境|jarring shift in tone|寫作 / 敘事|突兀刺耳,樂章裡忽然砸進金屬聲,unsettling,contrast,tone,adjective,jarring
laud|laud|verb|LAWD · UK /lɔːd/ · US /lɔːd/|C1|2.47|praise in an openly approving way|不是輕輕帶過，而是明白把好的地方抬出來講。|表示讚揚、稱頌。|praise|稱讚|像聚光燈不是照滿全場，而是特意打在那個值得被看見的位置。|評論寫作、獎項致詞與公共表揚|laud the effort|工作 / 團隊|laud the initiative|公共 / 評論|widely lauded|媒體 / 報導|公開稱讚,聚光燈特意打上去,praise,recognition,public,verb,laud
lax|lax|adjective|LAKS · UK /læks/ · US /læks/|C1|2.82|not strict, tight, or careful enough|不是寬鬆友善，而是鬆到該守的邊界也沒守住。|表示不夠嚴格、鬆散、草率。|loose|鬆散|像圍欄有門卻沒上鎖，看起來在，但其實誰都能進。|品質控管、資安守備與紀律要求|lax security|工程 / 安全|lax standards|品質 / 管理|lax enforcement|制度 / 法規|鬆到守不住,圍欄有門卻沒上鎖,loose,security,standards,adjective,lax
liaison|liaison|noun|lee-AY-zon · UK /liˈeɪ.zɒn/ · US /liˈeɪ.zɑːn/|C1|2.63|a linking role or channel between groups|不是多一個旁觀者，而是專門負責把兩邊接起來的人或線。|表示聯絡人、聯繫角色，或兩方之間的溝通橋梁。|contact|聯絡窗口|像兩座樓之間架起一條走道，讓原本各走各的人終於能互通。|跨部門合作、客戶對接與專案協調|act as liaison|工作 / 協作|liaison officer|治理 / 組織|liaison between teams|專案 / 溝通|兩邊的橋梁,兩座樓之間架走道,contact,coordination,teams,noun,liaison
lucrative|lucrative|adjective|LOO-kruh-tiv · UK /ˈluː.krə.tɪv/ · US /ˈluː.krə.t̬ɪv/|C1|2.70|producing substantial financial reward|不是有收入，而是回報高到很吸引人。|表示賺錢、收益豐厚。|profitable|有利可圖|像一條管線不是有水而已，而是水量足到整座水塔都能灌滿。|職涯選擇、投資評估與市場機會|lucrative contract|商業 / 合約|lucrative market|財務 / 市場|lucrative career|職涯 / 工作|收益豐厚,水量足到灌滿水塔,profitable,career,market,adjective,lucrative
lull|lull|noun|LUL · UK /lʌl/ · US /lʌl/|C1|2.78|a temporary dip in noise, activity, or intensity|不是結束，而是先短暫安靜下來。|表示暫時的平靜、停頓或低潮。|pause|停頓|像海浪退了半拍，沙面剛平整，下一波又在遠處蓄力。|會議節奏、市場波動與風暴前後|brief lull|工作 / 節奏|lull in activity|營運 / 觀察|lull before the storm|敘事 / 比喻|短暫平靜,浪退半拍下一波又來,pause,activity,timing,noun,lull
lurid|lurid|adjective|LOOR-id · UK /ˈlʊə.rɪd/ · US /ˈlʊr.ɪd/|C2|2.42|vivid in a sensational or disturbing way|不是鮮明，而是鮮明到讓人不舒服或覺得被炒作。|表示駭人、聳動、過度誇張而強烈。|vivid|鮮明|像霓虹色被打得太滿，眼睛還沒看懂內容就先被刺到。|新聞標題、敘事描寫與視覺評論|lurid detail|媒體 / 報導|lurid headline|新聞 / 評論|lurid colors|設計 / 視覺|聳動刺眼,還沒看懂就先被刺到,vivid,media,visual,adjective,lurid
malign|malign|verb|muh-LYNE · UK /məˈlaɪn/ · US /məˈlaɪn/|C2|2.33|speak harmful falsehood or contempt about someone|不是普通批評，而是惡意地把對方描黑。|表示誣衊、中傷、惡意詆毀。|slander|毀謗|像往白牆上甩一桶墨，不管真假，先讓整面牆看起來髒掉。|名譽攻擊、媒體戰與人際衝突|malign a rival|公共 / 競爭|malign the witness|法務 / 攻防|malign the team online|社群 / 衝突|惡意描黑,往白牆甩一桶墨,slander,reputation,conflict,verb,malign
marginal|marginal|adjective|MAR-juh-nul · UK /ˈmɑː.dʒɪ.nəl/ · US /ˈmɑːr.dʒə.nəl/|C1|2.93|barely enough or near the edge of acceptability|不是完全不夠，而是剛剛好卡在邊緣。|表示微小的、邊際的，或勉強夠用。|slight|些微|像電量只剩細細一條紅線，還能亮，但你知道撐不了多久。|成效評估、財務報表與技術容差|marginal improvement|分析 / 評估|marginal profit|財務 / 商業|marginal signal|工程 / 訊號|勉強在邊緣,電量只剩一條紅線,slight,profit,signal,adjective,marginal
meld|meld|verb|MELD · UK /meld/ · US /meld/|C1|2.39|blend pieces into one functioning whole|不是堆在一起，而是混到分不太出界線。|表示融合、結合成一體。|merge|合併|像兩股顏色在水裡慢慢捲開，最後成了一種新的色調。|團隊整合、風格融合與資料合流|meld ideas|創意 / 設計|meld into one team|管理 / 組織|meld the flavors|生活 / 飲食|融合成一體,顏色在水裡捲成新色,merge,integration,ideas,verb,meld
mire|mire|verb|MY-er · UK /maɪər/ · US /maɪr/|C1|2.45|get stuck in something heavy, messy, or obstructive|不是停一下，而是陷進去後每一步都更難抽身。|表示陷入泥淖、困境、繁瑣程序或麻煩中。|trap|困住|像車輪一陷進濕泥，轉得越快，反而陷得越深。|專案延宕、行政繁瑣與心理困局|mired in paperwork|工作 / 行政|mired in conflict|人際 / 衝突|mired in debt|財務 / 困境|陷進泥淖,車輪越轉越深,trap,delay,trouble,verb,mire
modulate|modulate|verb|MOD-juh-layt · UK /ˈmɒd.jə.leɪt/ · US /ˈmɑː.dʒə.leɪt/|C1|2.52|adjust intensity or tone with fine control|不是切換成另一種，而是細緻地把強弱拉到合適位置。|表示調節音量、語氣、亮度或反應強度。|adjust|調整|像轉燈的調光旋鈕，不是只有開關，而是能把亮度慢慢推到剛好。|聲音控制、溝通技巧與系統輸出|modulate your tone|溝通 / 人際|modulate the signal|工程 / 訊號|modulate the response|管理 / 協作|細緻調節,像轉調光旋鈕,adjust,tone,signal,verb,modulate
mollify|mollify|verb|MOL-uh-fy · UK /ˈmɒl.ɪ.faɪ/ · US /ˈmɑː.lə.faɪ/|C2|2.38|soothe anger until it softens|不是完全說服，而是先把火氣往下壓。|表示安撫、平息他人的怒氣或不滿。|appease|安撫|像燒熱的鍋邊慢慢澆上一圈水，嘶聲還在，但不再那麼爆烈。|客訴回應、衝突調停與危機處理|mollify the customer|服務 / 客訴|mollify tensions|公共 / 協商|mollify an angry crowd|危機 / 現場|把火氣壓下去,熱鍋邊慢慢澆水,appease,conflict,service,verb,mollify
monolithic|monolithic|adjective|mon-uh-LITH-ik · UK /ˌmɒn.əˈlɪθ.ɪk/ · US /ˌmɑː.nəˈlɪθ.ɪk/|C1|2.64|massive and uniform, hard to break apart|不是整合得好，而是大到像一整塊石頭，不易拆也不易轉向。|表示龐大而單一、僵硬難拆分。|rigid|僵硬|像不是由積木組成，而是一整塊石碑，動一處就等於動全部。|系統架構、組織設計與政治評論|monolithic system|工程 / 架構|monolithic organization|管理 / 組織|monolithic view|評論 / 分析|龐大單塊,像整塊石碑不易拆,rigid,architecture,organization,adjective,monolithic
moot|moot|adjective|MOOT · UK /muːt/ · US /muːt/|C2|2.45|open to debate or no longer practical to decide|不是答案還沒出來而已，而是這題要嘛可爭，要嘛已經失去意義。|表示有爭議的，或因情勢改變而變得無實益。|debatable|可爭辯|像球賽已經結束，這時再爭哪個戰術本來該先上，意義開始變淡。|法律討論、理論辯論與會後檢討|moot point|討論 / 辯論|moot question|法務 / 教學|become moot|管理 / 決策|可爭或失去實益,賽後再爭戰術意義變淡,debatable,debate,law,adjective,moot
morose|morose|adjective|muh-ROHS · UK /məˈrəʊs/ · US /məˈroʊs/|C2|2.47|sullenly gloomy and closed off|不是悲傷而已，而是情緒暗下去後連人也收起來。|表示陰鬱、悶悶不樂且不太想互動。|gloomy|陰沉|像窗簾整片拉下來，光不是沒有，只是很難進得來。|人物描寫、低潮情緒與群體氣氛|morose mood|情緒 / 敘事|morose silence|人際 / 場景|morose teenager|家庭 / 描寫|陰鬱收起來,窗簾整片拉下,gloomy,mood,persona,adjective,morose
muster|muster|verb|MUS-ter · UK /ˈmʌs.tər/ · US /ˈmʌs.tɚ/|C1|2.54|gather up needed strength, courage, or resources|不是天生就有，而是努力把散掉的力重新湊起來。|表示鼓起勇氣、召集資源或集中力量。|gather|聚集|像把四散的火種重新攏成一小堆，好讓下一把火能點起來。|勇氣調動、資源整備與隊伍集合|muster the courage|情緒 / 行動|muster support|組織 / 協作|muster the team|管理 / 團隊|把散力重新湊起來,把火種重新攏成一堆,gather,courage,support,verb,muster
mutable|mutable|adjective|MYOO-tuh-bul · UK /ˈmjuː.tə.bəl/ · US /ˈmjuː.t̬ə.bəl/|C2|2.46|able to change form, state, or definition|不是不穩，而是本來就設計成可變。|表示可變的、易改動的。|flexible|可調整|像白板上的字不是還沒定，而是本來就預留了隨時改寫的空間。|程式設計、制度設定與思維模型|mutable state|工程 / 程式|mutable plan|專案 / 規劃|mutable identity|文化 / 論述|本來就可變,白板上預留改寫空間,flexible,state,planning,adjective,mutable
nascent|nascent|adjective|NAY-suhnt · UK /ˈneɪ.sənt/ · US /ˈneɪ.sənt/|C1|2.61|just beginning to emerge into form|不是成熟前夕，而是才剛冒出輪廓。|表示初生、萌芽中的。|emerging|新興的|像地面剛裂開一條線，綠芽還很小，但你知道生命已經上來了。|新市場、早期概念與文化趨勢|nascent industry|市場 / 商業|nascent idea|創意 / 研究|nascent movement|公共 / 社會|剛開始萌芽,地面裂開冒出綠芽,emerging,industry,idea,adjective,nascent
nebulous|nebulous|adjective|NEB-yuh-lus · UK /ˈneb.jə.ləs/ · US /ˈneb.jə.ləs/|C1|2.67|cloudy and lacking a clear shape|不是細膩，而是模糊到邊線都抓不到。|表示含糊、朦朧、不夠明確。|vague|模糊|像霧裡的城市天際線，你知道有東西在那裡，卻說不清輪廓。|需求釐清、策略表述與情緒描述|nebulous concept|研究 / 討論|nebulous plan|管理 / 規劃|nebulous feeling|情緒 / 描寫|輪廓抓不到,霧裡的城市天際線,vague,plan,concept,adjective,nebulous
negate|negate|verb|nih-GAYT · UK /nɪˈɡeɪt/ · US /nɪˈɡeɪt/|C1|2.71|cancel out or deny the force of something|不是不同意而已，而是讓前面的效果整個作廢。|表示否定、抵消、使無效。|cancel|抵消|像已經堆好的積木被抽掉底座，前面的努力瞬間失去支點。|邏輯推論、數學效果與政策條件|negate the benefit|分析 / 評估|negate the effect|工程 / 測試|negate the claim|辯論 / 評論|讓效果作廢,抽掉積木底座,cancel,effect,logic,verb,negate
negligible|negligible|adjective|NEG-li-juh-bul · UK /ˈneɡ.lɪ.dʒə.bəl/ · US /ˈneɡ.lə.dʒə.bəl/|C1|2.73|so small that it barely matters|不是小而已，而是小到可以幾乎不計。|表示微不足道、可忽略。|insignificant|不重要|像白紙邊緣的一粒灰，你看得到，但不會影響整張圖。|效能評估、誤差分析與成本估算|negligible impact|分析 / 評估|negligible error|工程 / 測量|negligible cost|財務 / 規劃|小到可忽略,白紙邊緣的一粒灰,insignificant,error,cost,adjective,negligible
nullify|nullify|verb|NUL-uh-fy · UK /ˈnʌl.ɪ.faɪ/ · US /ˈnʌl.ə.faɪ/|C1|2.58|make something legally or effectively void|不是減弱，而是直接讓它失效。|表示使某決議、條款、效果或努力無效。|invalidate|使失效|像印章蓋下去後不是改顏色，而是整份文件被判定不再算數。|法務文件、策略抵銷與系統失效|nullify the agreement|法務 / 合約|nullify the advantage|競爭 / 策略|nullify the result|工程 / 評估|直接失效,整份文件不再算數,invalidate,agreement,effect,verb,nullify
obdurate|obdurate|adjective|OB-duh-rit · UK /ˈɒb.djʊ.rət/ · US /ˈɑːb.dɚ.ət/|C2|2.28|stubbornly unmoved by appeals or pity|不是堅定而已，而是別人的請求怎麼敲都敲不進去。|表示冷硬固執、不為勸說所動。|stubborn|固執|像冬天地凍住的土，鏟子一下去只聽見硬聲，挖不出反應。|談判僵局、人物性格與公共批評|obdurate refusal|談判 / 溝通|remain obdurate|人物 / 描寫|obdurate stance|公共 / 評論|冷硬不動,凍土怎麼鏟都沒反應,stubborn,refusal,stance,adjective,obdurate
obstinate|obstinate|adjective|OB-stuh-nit · UK /ˈɒb.stɪ.nət/ · US /ˈɑːb.stə.nət/|C1|2.74|rigidly refusing to change position|不是只是有主見，而是明知別人怎麼說都不轉。|表示頑固、不肯改變的。|rigid|僵硬|像方向盤被鎖死，路都彎了，車頭還硬是對著原點。|人際磨合、教養描述與談判立場|obstinate child|家庭 / 教養|obstinate refusal|協商 / 溝通|obstinate habit|成長 / 行為|頑固不轉,方向盤被鎖死,rigid,behavior,negotiation,adjective,obstinate
onerous|onerous|adjective|ON-er-us · UK /ˈəʊ.nər.əs/ · US /ˈɑː.nɚ.əs/|C1|2.69|burdensome enough to weigh progress down|不是麻煩而已，而是重到你做每一步都覺得拖。|表示繁重、負擔很大的。|burdensome|負擔沉重|像肩上不是掛一件外套，而是背著濕透的毯子一路走。|法規負擔、工作條件與行政程序|onerous requirement|制度 / 合規|onerous workload|工作 / 管理|onerous obligation|法務 / 合約|沉重拖累,背著濕毯子一路走,burdensome,workload,requirements,adjective,onerous
ornate|ornate|adjective|or-NAYT · UK /ɔːˈneɪt/ · US /ɔːrˈneɪt/|C1|2.57|elaborately decorated with many visible details|不是精緻而已，而是裝飾層層疊上去。|表示華麗繁複、雕飾很多。|decorated|有裝飾的|像木框上每一圈都刻著花紋，視線幾乎找不到空白休息處。|建築評論、字體風格與室內設計|ornate ceiling|空間 / 建築|ornate language|寫作 / 風格|ornate frame|設計 / 視覺|裝飾繁複,木框上每圈都刻著花紋,decorated,style,architecture,adjective,ornate
ostracize|ostracize|verb|OS-truh-syz · UK /ˈɒs.trə.saɪz/ · US /ˈɑː.strə.saɪz/|C1|2.64|exclude someone from group acceptance|不是單獨離開，而是被群體推到圈外。|表示排擠、放逐、使失去群體歸屬。|exclude|排除|像原本一起圍成的圈忽然收緊，剛好把某個人留在外面。|校園關係、職場文化與社群衝突|ostracize a teammate|職場 / 團隊|ostracized at school|教育 / 校園|ostracize dissenters|公共 / 社群|把人推到圈外,圍成的圈忽然收緊,exclude,belonging,conflict,verb,ostracize
palliate|palliate|verb|PAL-ee-ayt · UK /ˈpæl.i.eɪt/ · US /ˈpæl.i.eɪt/|C2|2.29|ease severity without curing the root cause|不是治好，而是先讓痛沒有那麼尖。|表示緩解症狀、減輕問題，但未根治。|relieve|緩解|像窗邊先墊條毛巾擋風，屋裡暖一點了，但裂縫還在。|醫療照護、危機處理與制度修補|palliate the pain|健康 / 醫療|palliate the tension|人際 / 協商|palliate the symptoms|政策 / 修補|先減尖銳,窗邊墊毛巾擋風,relieve,pain,mitigation,verb,palliate
parity|parity|noun|PAIR-uh-tee · UK /ˈpær.ə.ti/ · US /ˈper.ə.t̬i/|C1|2.60|a state of meaningful equality between sides|不是都差不多，而是到了可互相比肩的同一水平。|表示對等、同等地位或水準。|equality|平等|像兩邊天平終於回到水平，不再明顯偏向哪一端。|薪資比較、市場競爭與標準對齊|pay parity|職場 / 薪資|parity with competitors|商業 / 市場|reach parity|策略 / 評估|對等水平,天平終於回到水平,equality,competition,pay,noun,parity
peril|peril|noun|PAIR-uhl · UK /ˈper.əl/ · US /ˈper.əl/|C1|2.70|serious danger with real stakes attached|不是普通風險，而是再往前一步可能真的出事。|表示重大危險、險境。|danger|危險|像冰面已經出現裂聲，你還能站著，但每一步都不再輕鬆。|安全評估、新聞報導與敘事張力|in peril|新聞 / 敘事|peril to public safety|公共 / 安全|face grave peril|危機 / 評估|重大險境,冰面已經開始裂響,danger,safety,crisis,noun,peril
pernicious|pernicious|adjective|per-NISH-us · UK /pəˈnɪʃ.əs/ · US /pɚˈnɪʃ.əs/|C2|2.36|subtly harmful in ways that deepen over time|不是立刻爆炸，而是慢慢傷到根部。|表示有害但不一定立刻顯現，常帶長期侵蝕性。|harmful|有害|像白蟻不會第一天拆掉房子，卻會在你看不到的地方一直吃。|制度偏差、錯誤觀念與健康風險|pernicious myth|公共 / 教育|pernicious effect|分析 / 評估|pernicious habit|健康 / 行為|暗中侵蝕,白蟻在看不到處一直吃,harmful,myth,habit,adjective,pernicious
placid|placid|adjective|PLAS-id · UK /ˈplæs.ɪd/ · US /ˈplæs.ɪd/|C1|2.56|calm and undisturbed on the surface|不是沒有生命，而是平靜到幾乎不起波。|表示安靜平和、沉著不動。|calm|平靜|像湖面在清晨完全鋪平，風走過去也只留很細的紋。|風景描寫、人物氣質與動物狀態|placid lake|自然 / 描寫|placid expression|人物 / 印象|placid animal|生活 / 觀察|平和不起波,湖面清晨完全鋪平,calm,nature,persona,adjective,placid
pliable|pliable|adjective|PLY-uh-bul · UK /ˈplaɪ.ə.bəl/ · US /ˈplaɪ.ə.bəl/|C1|2.52|easy to bend physically or mentally|不是脆弱，而是能順著力道改變形狀。|表示柔韌、可塑，或容易受影響。|flexible|柔軟可調|像溫熱的蠟，不會一折就斷，而是能被手勢慢慢塑成你要的弧度。|材料選擇、思維彈性與角色評價|pliable material|工程 / 材料|pliable mindset|學習 / 成長|too pliable|人際 / 評價|可塑可彎,溫熱的蠟能慢慢塑形,flexible,materials,mindset,adjective,pliable
plight|plight|noun|PLYT · UK /plaɪt/ · US /plaɪt/|C1|2.61|a troubled situation with limited good options|不是普通麻煩，而是身處其中的人真的很難走。|表示困境、苦境。|hardship|困苦|像人在狹窄樓梯間前後都堵住，只能一邊喘一邊找縫。|社會議題、人物遭遇與新聞敘事|economic plight|公共 / 社會|their plight|新聞 / 報導|plight of workers|職場 / 勞動|艱難困境,樓梯間前後都堵住,hardship,society,workers,noun,plight
plummet|plummet|verb|PLUM-it · UK /ˈplʌm.ɪt/ · US /ˈplʌm.ɪt/|C1|2.82|fall steeply and fast in a short time|不是慢慢掉，而是幾乎像石頭一樣往下墜。|表示急劇下跌、暴跌。|drop|下降|像電梯鋼索忽然一鬆，指針一下就衝到很下面。|股價走勢、溫度變化與情緒崩落|prices plummet|財務 / 市場|temperature plummets|天氣 / 描寫|confidence plummeted|情緒 / 評估|急速暴跌,指針一下衝到很下面,drop,market,temperature,verb,plummet
polarize|polarize|verb|POH-luh-ryz · UK /ˈpəʊ.lə.raɪz/ · US /ˈpoʊ.lɚ.aɪz/|C1|2.78|split people into opposing camps|不是有不同意見，而是差異被拉到兩端，中間開始變窄。|表示使立場兩極化、分裂成對立群體。|divide|分裂|像磁鐵兩端的拉力越來越強，靠近中間的人反而更難站穩。|政治討論、社群議題與品牌反應|polarize opinion|公共 / 評論|polarize the audience|媒體 / 內容|polarized debate|社會 / 議題|拉成兩端,中間的位置越來越窄,divide,opinion,debate,verb,polarize
poignant|poignant|adjective|POIN-yuhnt · UK /ˈpɔɪn.jənt/ · US /ˈpɔɪn.jənt/|C1|2.74|sharply moving with sadness, beauty, or truth|不是單純感人，而是感覺裡帶著一點刺，會直接扎進心裡。|表示深刻動人、酸楚而有力。|touching|感人的|像熟悉旋律突然在舊房間裡響起，心一下被拉回曾經的時刻。|回憶敘事、影評書評與情緒描寫|poignant memory|情感 / 回憶|poignant scene|影視 / 評論|poignant reminder|寫作 / 敘事|深刻動人,熟悉旋律一下把心拉回去,touching,memory,emotion,adjective,poignant
